action,zoho_item_id,zoho_sku,zoho_name,zoho_category,zoho_brand,zoho_price,usage_signal,internal_id,internal_brand,internal_model,internal_match_method,zuper_id,zuper_name,zuper_match_method
NEW_INT_NEW_ZUPER,5385454000000811012,F1212,Clear Polyether Based Elastomeric Sealant,Non-inventory,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002582428,F1212CL,Clear Sealant,Non-inventory,,10.23,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167100,LR-43CG,Conduit Body - LR; 1 In,Electrical Component,,9.89741,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019901166,LB250DCG,"Conduit Body, Type: LB, Size: 2-1/2"", Cover/Gasket, Aluminum",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000009794424,L-700-D,"Conduit Locknut, 2-1/2"" Diameter, Zinc Die Cast",Locknut,,3.33526,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006346012,2011s,"Copper Splice Cap Crimp Conn, 14-4 Awg, 50/Bag",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006726347,2006s,"Copper Splice Cap Crimp Conn, 18-10 AWG, 100/Bag",,,0.46194,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000015842239,125CPL,"Coupling, 1-1/4"" Diameter, PVC, Gray",PVC,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000007103145,250CPL,"Coupling, 2-1/2"" Diameter, PVC, Gray",Coupling,,1.5222,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000523611,S6468,"Critter Guard; 8"" -100' rolls",Solar Component,Heyco,100.43,modified in 2026,(newly created),,,,(newly created),,
LINK_INT_NEW_ZUPER,5385454000016968595,1622289-00-X,CT Harness,Tesla,Tesla,,modified in 2026,cmn6lspz9002i7a8o6rqehh1h,Tesla,1622289-00-x,sku,(newly created),,
NEW_INT_NEW_ZUPER,5385454000015780011,1910159,"Current Transformer Cabinet, 400/600A, 600VAC, 3PH, 4W, CM40 Cabinet, Aluminum Bus, Line & Load Lugs, 85kAIC",Electrical Component,,1506.02,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000012697022,TH3221R,"Disconnect Switch, 30A, 240VAC, 250VDC, 2P, Fusible, NEMA 3R",Electrical Component,,219.157,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000005173003,TGN3323R,"Disconnect Switch, Non-Fusible, 100A, 240VAC, NEMA 3R, General Duty",Electrical Component,,158.962,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000838085,TGN3324R,"Disconnect Switch, Non-Fusible, 200A, 240VAC, NEMA 3R, General Duty",Electrical Component,,730.5,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006346920,LK125AN,DIST PANEL NEUTRAL LUG #14-2/0,,,20,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000009462597,DC-10,Duct Seal,Non-inventory,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000004075978,BQ220220,Eaton BQ220220,Breaker,EATON,67.66,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000481684,BR215,Eaton BR -15a 2p,Breaker,EATON,14,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000481913,BR240,Eaton BR -40a 2p,Breaker,EATON,14,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000376064,BR2125,Eaton BR 125A 2P Breaker,Breaker,EATON,94.43,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000488003,BR280,Eaton BR- 80a 2p,Breaker,EATON,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002685318,BRHDK125,Eaton Hold Down SCR kit,,,1,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002448112,782114004074,Eaton Hub Meter Closure Plate,,,1,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006672001,ES10844,Ecofoot Strut to Mod Kits,Solar Component,,15.26,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006728037,ES20311H,ECOFOOT2+ 86'' WIND DEFLECTOR,Solar Component,,18.87,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001104083,2083,"EMT 1 hole Conduit Strap- 3/4""",Strap,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003038712,174947,"EMT 1-HOLE Strap-1""",Strap,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000164253,251RT2,EMT Compression Connector (Raintight); 3/4 In,Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000011047749,265-SRT,"EMT Compression Coupling, 2"", Raintight, Steel",Coupling,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003074249,255RT2,"EMT Connector (Raintight); 2""",Electrical Component,,12.6219,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003041111,2904RT,"EMT CONNECTOR- 1""",Coupling,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003074312,265SRT,"EMT Coupling, 2""",Coupling,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002780527,P1427AS-EG,"EMT Strut Strap, 3/4"", Steel, Electro-Galvanized",Strap,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019251219,b10c-nc09798-o-dom,Enphase IQ Battery Cover,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019023673,Enhpase IQ-Battery- 10C-1P-NA,Enphase IQ-Battery- 10C-1P-NA,,,,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_LINK_ZUPER,5385454000008180225,ENP IQ8A-72-M-US,"Enphase IQ8A Microinverter w/MC4 Connectors, IQ8A-72-M-US",Inverter,,200.872,modified in 2026,(newly created),,,,d0c62cfa-8e3f-4935-96a8-7a0f1ff89651,Enphase IQ8 Microinverter w/ MC4,sku
NEW_INT_NEW_ZUPER,5385454000019023626,X-IQ-AM1-240-6C,Enphase- Combiner 6C,,,,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006624061,81003936207,Flashlock RM,,,37.86,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019806091,0708056,FLT Nail Plates,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167911,RWA-3/4,FMC- 3/4 In.; 100 Ft.,Electrical Component,FLEX,0.95739,modified in 2026,(newly created),,,,(newly created),,
LINK_INT_NEW_ZUPER,5385454000000495125,FRNR40,Fuse Class RK5 Time Delay -40A,Fuse,,4.64,modified in 2026,cmngieu5x000b04l5juludmcd,bussman,FRN-R-40,sku,(newly created),,
NEW_INT_NEW_ZUPER,5385454000007918055,FRN-R-30,"Fuse, 30 Amp, Class RK5, Dual-Element, Time-Delay, 250V AC/DC",Fuse,,7.866,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002669032,FUS 250V T/D CLASS RK5 200A,Fuses -200A,Fuse,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002504032,46201,Fuses -BUSSMAN 60 amp,Fuse,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000537374,FRNR125,Fuses FRNR -125A,Fuse,,73.05,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000153072,1841000-01-Y,Gateway Internal Panel Board Kit,Tesla,,835,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002735317,dg224urk,"General duty non-fusible safety switch, single-throw, 200 A",Load Center,,1,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019272049,54725,Green : C-Tap,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167470,GBK10,"Ground bar kit; 10 slot; 14-4, 6-2/0 AWG",Electrical Component,,16.089,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167524,GBK2120,"Ground bar kit; 21 slot ; 14-4, 6-2/0 AWG",Electrical Component,,42.209,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167499,GBK5,Ground bar kit; 5 slot; 14-4 AWG,Electrical Component,,11.403,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000164900,382-DC,Grounding Bushing; 3/4in,Bushing,,2.50504,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000135218,M3234GBR-SM,Heyco M3234GBR-SM 5 Hole 3/4 Inch Hub Solar Masthead II,Solar Component,Heyco,1.83,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001103134,HOM280CP,Homeline 80 Amp 2-Pole Circuit Breaker,Breaker,Square D,67.2,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000005801285,B200,"Hub Adaptor, SQD Load Center Acc; Bolt-on Hub; Rainproof; 2 In.; NEMA 3R SQD B200",Electrical Component,,26.14,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016968247,QM-HUG-01-B1-US,Ironridge Hugs -US,Solar Component,IRONRIDGE,,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000135071,QM-BUG-01-M1/2249914,IronRidge QuickMount BUG Conduit Mount,Solar Component,IRONRIDGE,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016968165,UFO-END-01-B1-US,Ironridge UFO- Ends BLK-US,Solar Component,IRONRIDGE,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016968084,XR10-BOSS-01-M1-US,Ironridge X10 Splice -US,Solar Component,IRONRIDGE,5.353,in 2026 SO,(newly created),,,,(newly created),,
LINK_INT_NEW_ZUPER,5385454000016968047,XR-100-168M- US,Ironridge XR100 -US,Solar Component,IRONRIDGE,,modified in 2026,cmn6lstyj004b7a8olv5u9pe4,IronRidge,XR-100168M-US,sku,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001321958,XR-100-CAP01-B1,IronRidge XR100 End Cap (L-R Pair),,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_LINK_ZUPER,5385454000001807113,XR-1000-210M,Ironridge XR1000,,,100.38,modified in 2026,(newly created),,,,115c1ff4-35f6-471b-84ef-5b3ead3cdde9,IronRidge XR1000,name
NEW_INT_NEW_ZUPER,5385454000019901183,WAS250,"KO Seal, Gasketed, Oil Tight Hole Seals, 2-1/2"", Steel",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002587219,20051/ AS100 / HP100,"KO Seal- 1""",Electrical Component,,19.44,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002818483,AS200/ HP200,"KO Seal- 2""",Electrical Component,,13.734,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002587246,20217/ AS075,"KO Seal- 3/4""",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006346857,LB20 PVC,"LB20 2"" PVC LB",,,18.5077,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006001492,LFT-03-D1,LFT- BLACK,Solar Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000015014074,LTB-400,Liquid Electrical Tape,,,40.729,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002876789,959914,"LL -1""",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167150,LL-42CG/ 766579,"LL -3/4""",Electrical Component,,7.65194,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002818714,HOM4080L225PRB,Load Center; Aluminum Bus; Convertible Main Lug; 225 A; 80 Circuit; 40 Spaces; Outdoor,Load Center,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003041069,48263,"Locknut- 1""",Locknut,,0.29601,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002404730,logistics-adder,Logistics Adder,Non-inventory,,619.48,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000167075,LR-42CG,"LR -3/4""",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000168091,32.0016P0001-UR,MC4; Female,Solar Component,,1.98436,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000168116,32.0017P0001-UR,MC4; Male,Solar Component,,1.73632,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000301905,6116,Meter Plastic Jumper Cover,Electrical Component,Milbank,13.13,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019901331,PBTS-2-250,"Multi-Tap Connector, 2 Port, 1 Side Entry, 6 to 250 MCM, AL/CU",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019901315,PBTS-2-3/0,"Multi-Tap Connector, 2 Port, 1 Side Entry, 6 to 3/0 AWG, AL/CU",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000012867226,BIT350,"Multiple Tap Connector, 2 Port, 1 Sided",Electrical Component,,54.612,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006466549,279-S00,"NEMA14-50R 50 Amp Flush Mount Receptacle, 125/250V, 14-50R, 3P4W, Grounding",Electrical Component,,6.075,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000014557400,1133339-00-A,Neurio Meter Cable,,Tesla,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003068238,NIPGALV2.5X6,"Nipple, 2.5"" x6""",Nipple,,,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000144147,11830/ 038753118307,"Oatey 1/2""-1"" Solar Flashing",Solar Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002732604,461700CORN,Orange Vinyl Tape,Non-inventory,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002977263,47836,"PLASTIC Bushing- 1""",Bushing,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003068523,NSI IT250,Polaris Plugs (2port) -250,,,26.605,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000012797217,Item #: 81021 Cat #: U054 UPC: 784567300185,"Power Outlet Panel, Temporary, 50A, 120/240VAC, NEMA 3R",Electrical Component,,65.448,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000789117,451597,PV Wire- BLACK,Wire,,0.42,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002734242,823793,PV Wire- Red,Wire,,0.568071,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001323265,PVC CEMENTQT,PVC CEMENTQT PVC Cement; 16 Oz.; Clear; 40 to 100 °F,Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003063851,PVC CPL2,PVC COUPLING 2'',Coupling,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003068343,PVC TA2.5,"PVC Male Terminal Adaptor; 2.5""",PVC,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016443130,2260444,PW2 Retrun Box,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000018808849,1707000-11-M,PW3 -Non Domestic,Tesla,,,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000096379,QCELL400,Q Cell 400,Module,,160,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016123519,QCell 400 Duo ML,QCell 400 Duo ML,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000096342,QCell 405 ML,QCell 405 ML,Module,,162,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000015499159,QCell 425,QCell 425,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000015907176,QCELL 430,QCELL 430,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016123610,QCell 430,QCell 430,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000304473,QTron M-G2+ 430W -BLK,QTron 430,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016123811,REC 325 TP3M,REC 325 TP3M,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016123926,REC 345 AA,REC 345 AA,Module,REC,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000096268,REC350AA BLK Q2,REC 350 AA,Module,REC,140,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000096305,REC360AA Black,REC 360 AA,Module,REC,144,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000097256,REC365AA BLK,REC 365 AA,Module,REC,146,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016180063,REC 400 AA,REC 400 AA,Module,REC,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016180120,REC 440 AA,REC 440 AA,Module,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000097092,REC325NP,REC N PEAK 325,Module,REC,130,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000007207461,REC450AA Pure-RX,REC450AA Pure-RX,Module,,257.44,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002762217,076308925758,Red vinyl tape,Non-inventory,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000106052,2045794-xx-y,RS-485 Harness for Tesla Remote Energy Meter,Tesla,Tesla,16,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000005503236,S-5! CorruBracket -U,"S-5! CorruBracket ""U"" 100T",Solar Component,,7.98,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000000577064,S5 S-5-S,S-5! Solar Racking Direct Attachment; Roof Clamp,Clamp - Solar,,5.65,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006136646,COND1-1/4,"SCH 40 -1.25""",Electrical Component,,3.2162,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006108142,PVC COND2,"SCH 40- 2"" 10' PVC",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000003063914,PVC EL2,"SCH40 90D ELBOW 2""",PVC,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000018008018,F1263BL,Sealant -Black,,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000012867355,Item #: 45610 Cat #: 1207 UPC: 050169012079,"Sealing Locknut, 2-1/2"", Steel",Locknut,,15.62583,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002840482,63405,SER 4/0,Electrical Component,,4.5,in 2026 SO,(newly created),,,,(newly created),,
